Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
1;base;1;1;0;0;0.086620681;-0.50480549;21.64;1.874709238
1;0;1;1;1;0;0.086620681;-0.50480549;22.14;1.874709238
1;0;1;1;1;1;-0.947551032;0.807821215;23.79;1.842678208
1;0;1;1;p;0;-5.517581489;2.950931485;23.16;0.226595985
1;0;1;1;F1;0;-3.504866404;4.473750578;22.88;0
1;0;1;1;F2;0;-5.85976686;5.859695685;22.05;0
1;0;1;1;F3;0;-7.79518115;5.792082622;23.04;0
1;0;1;1;F4;0;-8.857953829;3.226090761;23.05;0
1;0;1;1;F5;0;-7.81666629;1.224661206;23.35;0
1;0;1;1;1;1;-3.21907114;0.966554965;27.22;1.835188803
1;0;1;1;p;0;-5.453176948;-1.779655376;26.97;0.231905616
1;0;1;1;F1;0;-8.217813674;-0.544429175;25.73;0
1;0;1;1;F2;0;-7.651116661;-3.656157713;24.46;0
1;0;1;1;F3;0;-7.823944808;-5.92651681;27.43;0
1;0;1;1;F4;0;-5.935932085;-4.7978415;28.87;0
1;0;1;1;F5;0;-5.939864418;-2.520016982;30.09;0
1;0;1;1;1;2;-3.676208976;1.876898306;36.14;1.807962973
1;0;1;1;p;0;-7.36279914;2.51404269;36.03;0.169200999
1;0;1;1;F1;0;-5.86128998;4.376962506;35.06;0
1;0;1;1;F2;0;-6.573987182;3.562982962;32.54;0
1;0;1;1;F3;0;-9.949889001;1.684183637;33.18;0
1;0;1;1;F4;0;-9.461266652;-0.222055645;33.96;0
1;0;1;1;F5;0;-9.165259263;0.959714055;36.62;0
1;0;1;1;1;3;-1.305678488;2.575600819;38.29;1.748412777
1;0;1;1;p;0;-0.882459406;5.215560214;37.06;0.209748581
1;0;1;1;F1;0;1.199379347;5.682622744;35.56;0
1;0;1;1;F2;0;0.252208265;4.433876597;33.51;0
1;0;1;1;F3;0;-2.232350642;6.312963354;33.23;0
1;0;1;1;F4;0;-3.080299;8.163661487;35.48;0
1;0;1;1;F5;0;-3.841771121;6.154641773;37.86;0
1;0;1;1;1;4;0.058968793;1.398936975;41.5;1.732316289
1;0;1;1;p;0;-2.916422259;2.573478627;42.74;0.199884657
1;0;1;1;F1;0;-2.501667325;4.852289357;41.12;0
1;0;1;1;F2;0;-4.810976356;5.844252965;42.84;0
1;0;1;1;F3;0;-6.860831233;4.473488586;41.45;0
1;0;1;1;F4;0;-6.300575884;2.575538654;43.56;0
1;0;1;1;F5;0;-4.774760611;1.115988123;44.47;0
1;0;1;1;1;5;1.800869104;1.184499794;46.68;1.731755441
1;0;1;1;p;0;-1.538542054;-0.1651791;45.61;0.193892232
1;0;1;1;F1;0;-1.724727865;1.105975826;47.22;0
1;0;1;1;F2;0;-4.580235391;2.185502002;44.25;0
1;0;1;1;F3;0;-4.016846608;-0.535728065;42.38;0
1;0;1;1;F4;0;-3.569508726;-2.254096134;44.32;0
1;0;1;1;F5;0;-1.4196948;-2.253809112;45.9;0
1;0;1;1;1;6;3.32986787;1.313970932;48.95;1.727232458
1;0;1;1;p;0;1.138307657;3.218587385;49.13;0.184019815
1;0;1;1;F1;0;1.74954772;5.126462011;48.2;0
1;0;1;1;F2;0;-1.27345724;5.120057891;47.27;0
1;0;1;1;F3;0;-2.377876497;1.273298461;47.93;0
1;0;1;1;F4;0;-0.148789352;1.891416978;49.34;0
1;0;1;1;F5;0;0.984230461;1.606520322;50.41;0
1;0;1;1;1;7;4.777770761;0.88961587;53.81;1.666817673
1;0;1;1;p;0;7.0483422;2.958795741;51.67;0.187575188
1;0;1;1;F1;0;9.181365084;0.860340744;51.54;0
1;0;1;1;F2;0;10.25237705;0.942397801;50.12;0
1;0;1;1;F3;0;9.643384331;3.454533916;47.83;0
1;0;1;1;F4;0;6.963001942;5.626457084;48.98;0
1;0;1;1;F5;0;5.790170723;5.169656328;52.13;0
1;0;1;1;1;8;4.39026847;1.439472193;57.63;1.601037736
1;0;1;1;p;0;1.257666789;1.825226916;55.95;0.194015698
1;0;1;1;F1;0;-0.041439561;5.089522046;56.68;0
1;0;1;1;F2;0;0.085235224;4.646291294;52.41;0
1;0;1;1;F3;0;-0.197876321;1.640039832;51.34;0
1;0;1;1;F4;0;-0.061788721;-0.669955874;52.96;0
1;0;1;1;F5;0;0.648898513;-0.827828151;55.9;0
1;0;1;1;1;9;5.837671998;0.922923039;59.72;1.55879269
1;0;1;1;p;0;9.623597109;0.802627344;60.25;0.199101328
1;0;1;1;F1;0;10.87645039;-1.989586592;61.1;0
1;0;1;1;F2;0;12.27876185;-2.019960154;59.01;0
1;0;1;1;F3;0;13.20190133;-0.201633036;56.37;0
1;0;1;1;F4;0;12.78774588;2.436353936;56.93;0
1;0;1;1;F5;0;10.49950982;4.114798374;58.13;0
1;0;1;1;1;10;4.462900197;1.632149727;63.88;1.527214126
1;0;1;1;p;0;0.726236852;2.436604232;62.44;0.182161577
1;0;1;1;F1;0;-0.067793186;5.63091422;63.89;0
1;0;1;1;F2;0;-2.890992271;5.466150975;62.21;0
1;0;1;1;F3;0;-4.035335158;3.460289725;60.34;0
1;0;1;1;F4;0;-2.705231145;-0.289019987;61.5;0
1;0;1;1;F5;0;-1.170102766;-0.429664432;63.89;0
1;0;1;1;1;11;5.973497606;1.968892161;69.94;1.506961235
1;0;1;1;p;0;6.877973325;-0.659819249;70.08;0.216424424
1;0;1;1;F1;0;4.991159155;0.034826193;66.14;0
1;0;1;1;F2;0;7.758429952;-2.115874237;65.17;0
1;0;1;1;F3;0;10.44531658;-2.486198755;66.56;0
1;0;1;1;F4;0;10.75474421;-1.830565821;69.86;0
1;0;1;1;F5;0;9.546121516;-1.08536035;71.62;0
1;0;1;1;1;12;5.034391427;5.813704196;75.73;1.490306959
1;0;1;1;p;0;7.692477672;7.936103196;73.51;0.195514642
1;0;1;1;F1;0;11.12434491;5.929317897;74.54;0
1;0;1;1;F2;0;12.40500026;8.470266911;71.98;0
1;0;1;1;F3;0;10.49234434;10.40157407;69.1;0
1;0;1;1;F4;0;7.226076788;9.939842254;69.26;0
1;0;1;1;F5;0;6.137849501;11.28530179;72.14;0
1;0;1;1;1;13;3.345036083;5.115650814;80.48;1.469267413
1;0;1;1;p;0;1.267778795;1.68958862;79.86;0.215642726
1;0;1;1;F1;0;-1.620711334;3.488428461;79.19;0
1;0;1;1;F2;0;-1.869629208;2.189259538;75.34;0
1;0;1;1;F3;0;-2.18459989;-1.892810215;75.88;0
1;0;1;1;F4;0;0.109441218;-3.500782663;78.43;0
1;0;1;1;F5;0;2.6788164;-1.335601106;80.56;0
1;0;1;1;1;14;3.524792744;5.661349946;86.15;1.441628705
1;0;1;1;p;0;4.463100434;11.28135695;84.53;0.21608379
1;0;1;1;F1;0;8.888566627;10.48401827;85.17;0
1;0;1;1;F2;0;8.053039779;11.62419145;81.06;0
1;0;1;1;F3;0;4.873723208;14.19905963;79.13;0
1;0;1;1;F4;0;2.754619924;15.86357195;82.81;0
